"","chart_position","title","artist","year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","explicit","popularity","genre1","genre2","genre3","genre4","genre5"
"1",1,"TiK ToK","Ke$ha",2010,0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120,"0HPD5WQqrq7wPWR7P7Dw1i",199693,"FALSE","81","dance pop","electropop","pop","pop dance","post-teen pop"
"2",2,"Need You Now","Lady Antebellum",2010,0.587,0.622,4,-5.535,1,0.0303,0.0927,6e-04,0.2,0.231,108,"11EX5yhxr9Ihl3IN1asrfK",277573,"FALSE","69","contemporary country","country","country dawn","country pop","country road"
"3",3,"Hey, Soul Sister","Train",2010,0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97,"4HlFJV71xXKIGcU3kRyttv",216773,"FALSE","83","dance pop","neo mellow","pop","pop rock","dance pop"
"4",4,"California Gurls","Katy Perry Snoop Dogg",2010,0.791,0.754,0,-3.729,1,0.0569,0.0045,0,0.163,0.425,125,"6tS3XVuOyu10897O3ae7bi",234653,"FALSE","73","dance pop","pop","pop dance","post-teen pop","dance pop"
"5",5,"OMG","Usher will.i.am",2010,0.781,0.745,4,-5.81,0,0.0332,0.198,0,0.36,0.326,130,"1bM50INir8voAkVoKuvEUI",269493,"FALSE","72","atl hip hop","dance pop","pop","r&b","south carolina hip hop"
"6",6,"Airplanes","B.o.B Hayley Williams",2010,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93,"6lV2MSQmRIkycDScNtrBXO",180480,"TRUE","75","atl hip hop","dance pop","hip hop","pop","pop dance"
"7",7,"Love The Way You Lie","Eminem Rihanna",2010,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,87,"15JINEqzVMv3SvJTAXAKED",263373,"TRUE","82","detroit hip hop","hip hop","rap","detroit hip hop","hip hop"
"8",8,"Bad Romance","Lady Gaga",2010,0.696,0.921,0,-3.755,1,0.0363,0.0031,1e-04,0.0842,0.714,119,"0SiywuOBRcynK0uKGWdCnn",294573,"TRUE","81","dance pop","pop","pop dance","dance pop","pop"
"9",9,"Dynamite","Taio Cruz",2010,0.754,0.804,4,-3.177,1,0.0853,0.0033,0,0.0329,0.818,120,"1DqdF42leyFIzqNDv9CjId",203867,"FALSE","72","dance pop","edm","pop","pop dance","pop rap"
"10",10,"Break Your Heart","Taio Cruz Ludacris",2010,0.666,0.899,8,-4.676,1,0.028,0.0015,0,0.0677,0.629,122,"1CdqVF1ywD0ZO1zXtB9yWa",186267,"FALSE","66","dance pop","edm","pop","pop dance","pop rap"
"11",11,"Nothin' On You","B.o.B Bruno Mars",2010,0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,104,"59dLtGBS26x7kc0rHbaPrq",268320,"FALSE","73","atl hip hop","dance pop","hip hop","pop","pop dance"
"12",12,"I Like It","Enrique Iglesias Pitbull",2010,0.646,0.94,10,-2.856,0,0.0838,0.0209,0,0.0691,0.704,129,"4nVyHATevhl5RC6Qmoko5H",231787,"FALSE","64","dance pop","latin","latin pop","mexican pop","pop"
"13",13,"BedRock","Young Money Lloyd",2010,0.733,0.664,8,-6.163,1,0.295,0.102,0,0.191,0.557,148,"3iL2l5gUqyPS6vDwJFgJTR",288133,"TRUE","72","dirty south rap","gangster rap","hip hop","pop rap","rap"
"14",14,"In My Head","Jason Derulo",2010,0.762,0.748,0,-4.15,0,0.033,0.0266,0,0.348,0.851,110,"5BoIP8Eha5hwmRVURkC2Us",199027,"FALSE","64","dance pop","pop","pop dance","pop rap","post-teen pop"
"15",15,"Rude Boy","Rihanna",2010,0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,174,"60jzFy6Nn4M0iD1d94oteF",222920,"TRUE","74","barbadian pop","dance pop","pop","pop dance","post-teen pop"
"16",16,"Telephone","Lady Gaga Beyonce",2010,0.825,0.832,5,-5.853,0,0.0403,0.0059,8e-04,0.114,0.713,122,"7rl7ao5pb9BhvAzPdWStxi",220627,"FALSE","68","dance pop","pop","pop dance","dance pop","pop"
"17",17,"Teenage Dream","Katy Perry",2010,0.719,0.798,10,-4.582,1,0.0361,0.0162,0,0.134,0.591,120,"5jzKL4BDMClWqRguW5qZvh",227741,"FALSE","67","dance pop","pop","pop dance","post-teen pop","dance pop"
